word1;word2;count(word1);count(word2);count(bigram);count
Apple;II;3733;521;348;-0.19
компания;Apple;4232;3733;343;-0.27
компьютер;Apple;1666;3733;165;-0.25
Apple;в;3733;38216;148;-0.5
и;Apple;26428;3733;136;-0.45
Apple;Computer;3733;203;130;-0.19
Apple;и;3733;26428;127;-0.46
для;Apple;7791;3733;125;-0.34
Apple;Macintosh;3733;387;112;-0.21
от;Apple;2872;3733;108;-0.29
в;Apple;38216;3733;102;-0.52
год;Apple;12075;3733;91;-0.39
Apple;Inc;3733;306;88;-0.21
Apple;Records;3733;320;88;-0.21
корпорация;Apple;322;3733;86;-0.21
Apple;iOS;3733;354;79;-0.22
фирма;Apple;329;3733;69;-0.22
Apple;Mac;3733;829;62;-0.25
на;Apple;15689;3733;53;-0.44
с;Apple;10925;3733;50;-0.4
Apple;Corps;3733;48;46;-0.18
Apple;Store;3733;324;46;-0.23
устройство;Apple;1120;3733;43;-0.27
Apple;TV;3733;118;43;-0.2
Apple;iPhone;3733;619;41;-0.25
процессор;Apple;669;3733;41;-0.25
Apple;для;3733;7791;40;-0.38
Apple;быть;3733;11401;40;-0.42
Apple;I;3733;276;39;-0.23
система;Apple;2487;3733;39;-0.31
как;Apple;4483;3733;38;-0.35
Apple;III;3733;113;38;-0.2
Apple;DOS;3733;159;37;-0.21
Apple;выпускать;3733;1888;36;-0.3
Apple;на;3733;15689;36;-0.45
что;Apple;6001;3733;35;-0.37
лейбл;Apple;283;3733;34;-0.23
Apple;iPad;3733;314;32;-0.23
Apple;а;3733;3320;30;-0.33
Apple;ID;3733;62;29;-0.2
платформа;Apple;718;3733;28;-0.26
Apple;использовать;3733;1746;28;-0.3
магазин;Apple;479;3733;27;-0.25
Apple;стив;3733;361;26;-0.24
Apple;представлять;3733;1062;26;-0.28
Apple;с;3733;10925;25;-0.43
из;Apple;4399;3733;23;-0.36
Apple;IIGS;3733;24;23;-0.18
директор;Apple;327;3733;21;-0.25
продукция;Apple;124;3733;21;-0.22
сайт;Apple;1994;3733;20;-0.32
студия;Apple;343;3733;20;-0.25
серия;Apple;637;3733;19;-0.27
Apple;Apple;3733;3733;19;-0.36
акция;Apple;359;3733;19;-0.25
Apple;не;3733;4591;19;-0.37
Apple;Lisa;3733;68;18;-0.21
Apple;по;3733;5547;18;-0.39
Apple;объявлять;3733;674;18;-0.27
разрабатывать;Apple;807;3733;18;-0.28
Apple;который;3733;5265;18;-0.38
Apple;Newton;3733;37;17;-0.2
Apple;становиться;3733;2460;17;-0.34
продукт;Apple;519;3733;17;-0.27
Apple;начинать;3733;1188;17;-0.3
Red;Apple;95;3733;17;-0.22
Led;Apple;27;3733;17;-0.19
Apple;также;3733;3609;16;-0.36
модель;Apple;719;3733;16;-0.28
Apple;A5;3733;28;16;-0.19
семейство;Apple;174;3733;15;-0.23
Apple;A7;3733;18;15;-0.19
Apple;из;3733;4399;15;-0.38
Apple;Lossless;3733;15;15;-0.18
выпускать;Apple;1888;3733;14;-0.33
ноутбук;Apple;163;3733;14;-0.23
Apple;джобс;3733;742;14;-0.28
сотрудник;Apple;282;3733;14;-0.25
Apple;App;3733;169;14;-0.23
Apple;iPod;3733;337;14;-0.26
Big;Apple;54;3733;14;-0.21
у;Apple;1071;3733;13;-0.3
это;Apple;3687;3733;13;-0.37
Apple;как;3733;4483;13;-0.38
ос;Apple;323;3733;13;-0.26
Apple;Remote;3733;25;13;-0.19
Apple;A4;3733;22;13;-0.19
Apple;A6;3733;20;13;-0.19
к;Apple;3562;3733;12;-0.37
заявление;Apple;133;3733;12;-0.23
Apple;но;3733;1864;12;-0.33
Apple;анонсировать;3733;205;12;-0.24
создавать;Apple;1317;3733;12;-0.31
Apple;IIc;3733;15;12;-0.19
клавиатура;Apple;168;3733;12;-0.24
техника;Apple;133;3733;11;-0.23
Windows;Apple;881;3733;11;-0.3
Apple;iTunes;3733;393;11;-0.27
Apple;A6X;3733;12;11;-0.18
Apple;за;3733;2678;10;-0.36
основатель;Apple;228;3733;10;-0.25
приложение;Apple;1342;3733;10;-0.32
логотип;Apple;116;3733;10;-0.23
время;Apple;2202;3733;10;-0.35
разработчик;Apple;760;3733;10;-0.29
Apple;он;3733;5538;10;-0.41
Apple;IIe;3733;13;10;-0.19
Rotten;Apple;10;3733;10;-0.18
Android;Apple;656;3733;10;-0.29
